name,tin,address
BUREAU OF INTERNAL REVENUE ,,
JASMIN CARIG ,,
CASH ,,
MARISSA VALENCIA ,,
PETTY CASH FUND ,,
MUNICIPAL TREASURER OF PATEROS ,,"841 G. DE BORJA, PATEROS CITY, METRO MANILA "
CITY TREASURER OF SAN JUAN ,,
CITY TREASURER OF TAGUIG ,,
CITY TREASURER OF BACOOR ,,
CITY TREASURER OF MAKATI ,,
QUEZON CITY TREASURER ,,
CITY TREASURER OF MUNTINLUPA ,,
CANCELLED ,,
